country,continent,year,population,life_expectancy,gdp_per_capita
Afghanistan,Asia,1952,8425333,28.801,779.4
Afghanistan,Asia,1957,9240934,30.332,820.9
Afghanistan,Asia,1962,10267083,31.997,853.1
Afghanistan,Asia,1967,11537966,34.02,836.2
Afghanistan,Asia,1972,13079460,36.088,740.0
Afghanistan,Asia,1977,14880372,38.438,786.1
Afghanistan,Asia,1982,12881816,39.854,978.0
Afghanistan,Asia,1987,13867957,40.822,852.4
Afghanistan,Asia,1992,16317921,41.674,649.3
Afghanistan,Asia,1997,22227415,41.763,635.3
Afghanistan,Asia,2002,25268405,42.129,726.7
Afghanistan,Asia,2007,31889923,43.828,974.6
Albania,Europe,1952,1282697,55.23,1601.1
Albania,Europe,1957,1476505,59.28,1942.3
Albania,Europe,1962,1728137,64.82,2312.9
Albania,Europe,1967,1984060,66.22,2760.2
Albania,Europe,1972,2263554,67.69,3313.4
Albania,Europe,1977,2509048,68.93,3533.0
Albania,Europe,1982,2780097,70.42,3630.9
Albania,Europe,1987,3075321,72.0,3738.9
Albania,Europe,1992,3326498,71.581,2497.4
Albania,Europe,1997,3428038,72.95,3193.1
Albania,Europe,2002,3508512,75.651,4604.2
Albania,Europe,2007,3600523,76.423,5937.0
Algeria,Africa,1952,9279525,43.077,2449.0
Algeria,Africa,1957,10270856,45.685,3014.0
Algeria,Africa,1962,11000948,48.303,2550.8
Algeria,Africa,1967,12760499,51.407,3247.0
Algeria,Africa,1972,14760787,54.518,4182.7
Algeria,Africa,1977,17152804,58.014,4910.4
Algeria,Africa,1982,20033753,61.368,5745.2
Algeria,Africa,1987,23254956,65.799,5681.4
Algeria,Africa,1992,26298373,67.744,5023.2
Algeria,Africa,1997,29072015,69.152,4797.3
Algeria,Africa,2002,31287142,70.994,5288.0
Algeria,Africa,2007,33333216,72.301,6223.4
Angola,Africa,1952,4232095,30.015,3520.6
Angola,Africa,1957,4561361,31.999,3827.9
Angola,Africa,1962,4826015,34.0,4269.3
Angola,Africa,1967,5247469,35.985,5522.8
Angola,Africa,1972,5894858,37.928,5473.3
Angola,Africa,1977,6162675,39.483,3008.6
Angola,Africa,1982,7016384,39.942,2757.0
Angola,Africa,1987,7874230,39.906,2430.2
Angola,Africa,1992,8735988,40.647,2627.8
Angola,Africa,1997,9875024,40.963,2277.1
Angola,Africa,2002,10866106,41.003,2773.3
Angola,Africa,2007,12420476,42.731,4797.2
Argentina,Americas,1952,17876956,62.485,5911.3
Argentina,Americas,1957,19610538,64.399,6856.9
Argentina,Americas,1962,21283783,65.142,7133.2
Argentina,Americas,1967,22934225,65.634,8053.0
Argentina,Americas,1972,24779799,67.065,9443.0
Argentina,Americas,1977,26983828,68.481,10079.0
Argentina,Americas,1982,29341374,69.942,8997.9
Argentina,Americas,1987,31620918,70.774,9139.7
Argentina,Americas,1992,33958947,71.868,9308.4
Argentina,Americas,1997,36203463,73.275,10967.3
Argentina,Americas,2002,38331121,74.34,8797.6
Argentina,Americas,2007,40301927,75.32,12779.4
Australia,Oceania,1952,8691212,69.12,10039.6
Australia,Oceania,1957,9712569,70.33,10949.6
Australia,Oceania,1962,10794968,70.93,12217.2
Australia,Oceania,1967,11872264,71.1,14526.1
Australia,Oceania,1972,13177000,71.93,16788.6
Australia,Oceania,1977,14074100,73.49,18334.2
Australia,Oceania,1982,15184200,74.74,19477.0
Australia,Oceania,1987,16257249,76.32,21888.9
Australia,Oceania,1992,17481977,77.56,23424.8
Australia,Oceania,1997,18565243,78.83,26997.9
Australia,Oceania,2002,19546792,80.37,30687.8
Australia,Oceania,2007,20434176,81.235,34435.4
Austria,Europe,1952,6927772,66.8,6137.1
Austria,Europe,1957,6965860,67.48,8842.6
Austria,Europe,1962,7129864,69.54,10750.7
Austria,Europe,1967,7376998,70.14,12834.6
Austria,Europe,1972,7544201,70.63,16661.6
Austria,Europe,1977,7568430,72.17,19749.4
Austria,Europe,1982,7574613,73.18,21597.1
Austria,Europe,1987,7578903,74.94,23687.8
Austria,Europe,1992,7914969,76.04,27042.0
Austria,Europe,1997,8069876,77.51,29095.9
Austria,Europe,2002,8148312,78.98,32417.6
Austria,Europe,2007,8199783,79.829,36126.5
Bahrain,Asia,1952,120447,50.939,9867.1
Bahrain,Asia,1957,138655,53.832,11635.8
Bahrain,Asia,1962,171863,56.923,12753.3
Bahrain,Asia,1967,202182,59.923,14804.7
Bahrain,Asia,1972,230800,63.3,18268.7
Bahrain,Asia,1977,297410,65.593,19340.1
Bahrain,Asia,1982,377967,69.052,19211.1
Bahrain,Asia,1987,454612,70.75,18524.0
Bahrain,Asia,1992,529491,72.601,19035.6
Bahrain,Asia,1997,598561,73.925,20292.0
Bahrain,Asia,2002,656397,74.795,23403.6
Bahrain,Asia,2007,708573,75.635,29796.0
Bangladesh,Asia,1952,46886859,37.484,684.2
Bangladesh,Asia,1957,51365468,39.348,661.6
Bangladesh,Asia,1962,56839289,41.216,686.3
Bangladesh,Asia,1967,62821884,43.453,721.2
Bangladesh,Asia,1972,70759295,45.252,630.2
Bangladesh,Asia,1977,80428306,46.923,659.9
Bangladesh,Asia,1982,93074406,50.009,677.0
Bangladesh,Asia,1987,103764241,52.819,752.0
Bangladesh,Asia,1992,113704579,56.018,837.8
Bangladesh,Asia,1997,123315288,59.412,972.8
Bangladesh,Asia,2002,135656790,62.013,1136.4
Bangladesh,Asia,2007,150448339,64.062,1391.3
Belgium,Europe,1952,8730405,68.0,8343.1
Belgium,Europe,1957,8989111,69.24,9715.0
Belgium,Europe,1962,9218400,70.25,10991.2
Belgium,Europe,1967,9556500,70.94,13149.0
Belgium,Europe,1972,9709100,71.44,16672.1
Belgium,Europe,1977,9821800,72.8,19118.0
Belgium,Europe,1982,9856303,73.93,20979.8
Belgium,Europe,1987,9870200,75.35,22525.6
Belgium,Europe,1992,10045622,76.46,25575.6
Belgium,Europe,1997,10199787,77.53,27561.2
Belgium,Europe,2002,10311970,78.32,30485.9
Belgium,Europe,2007,10392226,79.441,33692.6
Benin,Africa,1952,1738315,38.223,1062.8
Benin,Africa,1957,1925173,40.358,959.6
Benin,Africa,1962,2151895,42.618,949.5
Benin,Africa,1967,2427334,44.885,1035.8
Benin,Africa,1972,2761407,47.014,1085.8
Benin,Africa,1977,3168267,49.19,1029.2
Benin,Africa,1982,3641603,50.904,1277.9
Benin,Africa,1987,4243788,52.337,1225.9
Benin,Africa,1992,4981671,53.919,1191.2
Benin,Africa,1997,6066080,54.777,1233.0
Benin,Africa,2002,7026113,54.406,1372.9
Benin,Africa,2007,8078314,56.728,1441.3
Bolivia,Americas,1952,2883315,40.414,2677.3
Bolivia,Americas,1957,3211738,41.89,2127.7
Bolivia,Americas,1962,3593918,43.428,2181.0
Bolivia,Americas,1967,4040665,45.032,2586.9
Bolivia,Americas,1972,4565872,46.714,2980.3
Bolivia,Americas,1977,5079716,50.023,3548.1
Bolivia,Americas,1982,5642224,53.859,3156.5
Bolivia,Americas,1987,6156369,57.251,2753.7
Bolivia,Americas,1992,6893451,59.957,2961.7
Bolivia,Americas,1997,7693188,62.05,3326.1
Bolivia,Americas,2002,8445134,63.883,3413.3
Bolivia,Americas,2007,9119152,65.554,3822.1
Bosnia and Herzegovina,Europe,1952,2791000,53.82,973.5
Bosnia and Herzegovina,Europe,1957,3076000,58.45,1354.0
Bosnia and Herzegovina,Europe,1962,3349000,61.93,1709.7
Bosnia and Herzegovina,Europe,1967,3585000,64.79,2172.4
Bosnia and Herzegovina,Europe,1972,3819000,67.45,2860.2
Bosnia and Herzegovina,Europe,1977,4086000,69.86,3528.5
Bosnia and Herzegovina,Europe,1982,4172693,70.69,4126.6
Bosnia and Herzegovina,Europe,1987,4338977,71.14,4314.1
Bosnia and Herzegovina,Europe,1992,4256013,72.178,2546.8
Bosnia and Herzegovina,Europe,1997,3607000,73.244,4766.4
Bosnia and Herzegovina,Europe,2002,4165416,74.09,6019.0
Bosnia and Herzegovina,Europe,2007,4552198,74.852,7446.3
Botswana,Africa,1952,442308,47.622,851.2
Botswana,Africa,1957,474639,49.618,918.2
Botswana,Africa,1962,512764,51.52,983.7
Botswana,Africa,1967,553541,53.298,1214.7
Botswana,Africa,1972,619351,56.024,2263.6
Botswana,Africa,1977,781472,59.319,3214.9
Botswana,Africa,1982,970347,61.484,4551.1
Botswana,Africa,1987,1151184,63.622,6205.9
Botswana,Africa,1992,1342614,62.745,7954.1
Botswana,Africa,1997,1536536,52.556,8647.1
Botswana,Africa,2002,1630347,46.634,11003.6
Botswana,Africa,2007,1639131,50.728,12569.9
Brazil,Americas,1952,56602560,50.917,2108.9
Brazil,Americas,1957,65551171,53.285,2487.4
Brazil,Americas,1962,76039390,55.665,3336.6
Brazil,Americas,1967,88049823,57.632,3429.9
Brazil,Americas,1972,100840058,59.504,4985.7
Brazil,Americas,1977,114313951,61.489,6660.1
Brazil,Americas,1982,128962939,63.336,7030.8
Brazil,Americas,1987,142938076,65.205,7807.1
Brazil,Americas,1992,155975974,67.057,6950.3
Brazil,Americas,1997,168546719,69.388,7958.0
Brazil,Americas,2002,179914212,71.006,8131.2
Brazil,Americas,2007,190010647,72.39,9065.8
Bulgaria,Europe,1952,7274900,59.6,2444.3
Bulgaria,Europe,1957,7651254,66.61,3008.7
Bulgaria,Europe,1962,8012946,69.51,4254.3
Bulgaria,Europe,1967,8310226,70.42,5577.0
Bulgaria,Europe,1972,8576200,70.9,6597.5
Bulgaria,Europe,1977,8797022,70.81,7612.2
Bulgaria,Europe,1982,8892098,71.08,8224.2
Bulgaria,Europe,1987,8971958,71.34,8239.9
Bulgaria,Europe,1992,8658506,71.19,6302.6
Bulgaria,Europe,1997,8066057,70.32,5970.4
Bulgaria,Europe,2002,7661799,72.14,7696.8
Bulgaria,Europe,2007,7322858,73.005,10680.8
Burkina Faso,Africa,1952,4469979,31.975,543.3
Burkina Faso,Africa,1957,4713416,34.906,617.2
Burkina Faso,Africa,1962,4919632,37.814,722.5
Burkina Faso,Africa,1967,5127935,40.697,794.8
Burkina Faso,Africa,1972,5433886,43.591,854.7
Burkina Faso,Africa,1977,5889574,46.137,743.4
Burkina Faso,Africa,1982,6634596,48.122,807.2
Burkina Faso,Africa,1987,7586551,49.557,912.1
Burkina Faso,Africa,1992,8878303,50.26,931.8
Burkina Faso,Africa,1997,10352843,50.324,946.3
Burkina Faso,Africa,2002,12251209,50.65,1037.6
Burkina Faso,Africa,2007,14326203,52.295,1217.0
Burundi,Africa,1952,2445618,39.031,339.3
Burundi,Africa,1957,2667518,40.533,379.6
Burundi,Africa,1962,2961915,42.045,355.2
Burundi,Africa,1967,3330989,43.548,413.0
Burundi,Africa,1972,3529983,44.057,464.1
Burundi,Africa,1977,3834415,45.91,556.1
Burundi,Africa,1982,4580410,47.471,559.6
Burundi,Africa,1987,5126023,48.211,621.8
Burundi,Africa,1992,5809236,44.736,631.7
Burundi,Africa,1997,6121610,45.326,463.1
Burundi,Africa,2002,7021078,47.36,446.4
Burundi,Africa,2007,8390505,49.58,430.1
Cambodia,Asia,1952,4693836,39.417,368.5
Cambodia,Asia,1957,5322536,41.366,434.0
Cambodia,Asia,1962,6083619,43.415,496.9
Cambodia,Asia,1967,6960067,45.415,523.4
Cambodia,Asia,1972,7450606,40.317,421.6
Cambodia,Asia,1977,6978607,31.22,525.0
Cambodia,Asia,1982,7272485,50.957,624.5
Cambodia,Asia,1987,8371791,53.914,683.9
Cambodia,Asia,1992,10150094,55.803,682.3
Cambodia,Asia,1997,11782962,56.534,734.3
Cambodia,Asia,2002,12926707,56.752,896.2
Cambodia,Asia,2007,14131858,59.723,1713.8
Cameroon,Africa,1952,5009067,38.523,1172.7
Cameroon,Africa,1957,5359923,40.428,1313.0
Cameroon,Africa,1962,5793633,42.643,1399.6
Cameroon,Africa,1967,6335506,44.799,1508.5
Cameroon,Africa,1972,7021028,47.049,1684.1
Cameroon,Africa,1977,7959865,49.355,1783.4
Cameroon,Africa,1982,9250831,52.961,2368.0
Cameroon,Africa,1987,10780667,54.985,2602.7
Cameroon,Africa,1992,12467171,54.314,1793.2
Cameroon,Africa,1997,14195809,52.199,1694.3
